City,%-Biden,%-Trump,Biden,Trump,Other,Total,County
Royal Oak Township,95.6%,3.3%,"1,360",47,15,"1,422",O
Highland Park,94.5%,4.1%,"3,739",162,54,"3,955",W
Detroit,93.5%,5.1%,"233,908","12,654","3,576","250,138",W
Inkster,89.7%,8.6%,"9,140",877,170,"10,187",W
Southfield,86.9%,12.1%,"40,403","5,621",472,"46,496",O
Lathrup Village,86.3%,12.7%,"2,702",398,31,"3,131",O
Hamtramck,85.3%,13.4%,"6,651","1,043",100,"7,794",W
Huntington Woods,81.8%,17.1%,"3,983",835,54,"4,872",O
Oak Park,81.1%,17.7%,"14,602","3,186",227,"18,015",O
Pontiac,80.7%,17.8%,"18,152","4,012",334,"22,498",O
Pleasant Ridge,79.3%,18.8%,"1,605",381,38,"2,024",O
Ferndale,78.8%,19.2%,"10,275","2,503",262,"13,040",O
Eastpointe,73.7%,24.7%,"13,326","4,467",300,"18,093",M
Redford Township,72.5%,25.4%,"20,082","7,025",589,"27,696",W
Romulus,68.5%,29.8%,"8,725","3,792",223,"12,740",W
Dearborn,68.3%,29.4%,"30,718","13,239","1,040","44,997",W
Berkley,66.1%,32.1%,"7,141","3,464",203,"10,808",O
Royal Oak,65.4%,32.6%,"25,837","12,890",762,"39,489",O
Farmington Hills,64.7%,33.9%,"32,278","16,890",719,"49,887",O
Van Buren Township,63.6%,34.5%,"11,104","6,020",331,"17,455",W
Melvindale,63.4%,34.3%,"2,822","1,525",105,"4,452",W
Grosse Pointe Park,63.3%,34.9%,"5,171","2,848",151,"8,170",W
Farmington,62.8%,35.2%,"3,888","2,177",124,"6,189",O
Southfield Township,62.5%,36.1%,"6,854","3,963",157,"10,974",O
Canton Township,60.9%,37.3%,"35,063","21,506","1,036","57,605",W
Hazel Park,60.3%,37.4%,"4,758","2,953",175,"7,886",O
West Bloomfield Township,59.3%,39.6%,"26,368","17,611",462,"44,441",O
Auburn Hills,58.8%,39.1%,"6,589","4,387",232,"11,208",O
